wp_post_id,address
165,"ул. Машиностроительная 41, ЖК «Smart House», Киев, Украина"
165,"бул. Дарницкий, 8В, 02000, Киев, Украина"
194,"+38 (044) 290 76 39, ул. Мечникова, 14/1 ст. метро «Кловская» 2-й этаж, офис 222а "
198,"г. Киев, ул. Богдана Хмельницкого, 16-22, оф. 1501"
198,"г. Днепр, ул. Европейская, 5, оф. 513"
198,"г. Харьков, ул. Отакара Яроша, 18, оф. 504"
198,"г. Львов, ул. Пекарская, 7, оф. 202"
198,"г. Минск, ул. Революционная, 9, оф. 50"
198,"г. Кишинёв, бл. Дмитрий Кантемир 5/4,(БЦ V-Continental), 5 этаж оф. 509"
201,"г. Киев, Бульвар Леси Украинки, 26Б, оф 302"
201,"г. Киев, улица Марины Расковой (Евгена Сверстюка), 13, офис 1004"
201,"г. Киев, переулок Тбилисский, 4/10, офис 304"
201,"г. Киев, улица Ларисы Руденко, 6-А"
205,"г. Киев, ул. Гарматная 6, оф. 13"
210,"Киев, ул. Крещатик, 1/2 Киев, город Киев, Украина"
215,"г. Киев пр. Валерия Лобановского, 123, Киев"
218,"г. Киев, ул. Б. Гаврилишина, 7 офис 602"
220,"г. Днепр, ул. Троицкая (Красная), 21г, офис 310"
222,"г. Киев, ул. Драгомирова, 2а, оф. 440 (секция 2, 23 этаж)"
222,"73000, Херсон, ул. Ярослава Мудрого, 12 (второй этаж)"
222," 54001, г. Николаев, ул. Московская 24"
222," 69002, Запорожье, Железнодорожная улица, 6А"
222," 61052, Харьков, Благовещенская улица, 3"
222," 49051, Днепр, проспект Петра Калнышевского, 44"
222," 65089, Одесса, ул. Греческая, 1а, (вход со стороны пер. Юрия Олеши)"
225,"Київ, вул. Табірна, 30-32"
227,"Kiev 8/5 Volos’ka str., 4th building of NaUKMA, 4th floor "
229,"м.Львів, вул. Козельницька, 2а, офіс 312 Львівська бізнес-школа УКУ (LvBS)"
231,"Київ, вул. Деревлянська, буд. 13, офіс 334"
233,"г. Харьков, ул. Сумская, 72"
235,"Украина, г. Киев,  ул. Патриарха Мстислава Скрипника (бывш. Островского), 58, оф. 6, 2 этаж.  м. ""Вокзальная"""
237,"м. Київ, вул. Жилянська, буд. 146 офис 412."
241," ул. Машиностроительная, 41, ЖК «Smart House», Киев, Украина"
241,"ул. Героев УПА, 80, 79018, Львов, Украина"
241," улица Европейская, 5Б, второй этаж, Днепр, Украина"
241,"ул. Благовещенская 1 (Fabrika.space), Харьков"
241,"ул. Дерибасовская, 5г, 65026, Одесса"
243,"г. Киев ул. Б.Гаврилишина 7,  оф. 710"
