wp_post_id,taxonomy,term_slug
3876,industry,travel
3878,industry,kriptovalyutnye-partnerki
3878,industry,partnerskaya-programma-s-bankami
3878,industry,partnerskie-programmy-mikrozajmy
3878,industry,finansovye-partnerki
3885,industry,gembling-partnerki
3885,industry,partnerskaya-programma-s-bankami
3885,industry,partnerskie-programmy-mikrozajmy
3885,industry,finansovye-partnerki
3887,industry,finansovye-partnerki
3889,industry,partnerskaya-programma-s-bankami
3889,industry,partnerskie-programmy-mikrozajmy
3889,industry,finansovye-partnerki
3894,industry,cpa-partnerki
3894,industry,partnerskaya-programma-s-bankami
3894,industry,partnerskie-programmy-mikrozajmy
3894,industry,finansovye-partnerki
3896,industry,cpa-partnerki
3896,industry,partnerskaya-programma-s-bankami
3896,industry,partnerskie-programmy-mikrozajmy
3896,industry,finansovye-partnerki
3901,industry,essay-partnerki
3901,industry,obrazovatelnye-partnerki
3903,industry,obrazovatelnye-partnerki
3905,industry,essay-partnerki
3905,industry,obrazovatelnye-partnerki
3907,industry,essay-partnerki
3907,industry,obrazovatelnye-partnerki
3909,industry,obrazovatelnye-partnerki
3912,industry,cashback-partnerki
3914,industry,agregatory-ssylok
3917,industry,agregatory-ssylok
3919,industry,agregatory-ssylok
3923,industry,agregatory-ssylok
3925,industry,agregatory-ssylok
3930,industry,sms-partnerki
3932,industry,sms-partnerki
3934,industry,sms-partnerki
3936,industry,sms-partnerki
3942,industry,farma
3944,industry,nutra-partnerki
3944,industry,partnerskaya-programma-s-tovarkoj
3944,industry,farma
3946,industry,farma
3948,industry,farma
3951,industry,poker
3954,industry,gembling-partnerki
3954,industry,poker
3956,industry,gembling-partnerki
3956,industry,poker
3958,industry,betting
3958,industry,gembling-partnerki
3958,industry,poker
3967,industry,travel
3969,industry,travel
3973,industry,travel
3975,industry,travel
3977,industry,travel
3979,industry,gembling-partnerki
3979,industry,nutra-partnerki
3979,industry,finansovye-partnerki
3981,industry,betting
3981,industry,gembling-partnerki
3983,industry,betting
3983,industry,gembling-partnerki
3985,industry,gembling-partnerki
3987,industry,gembling-partnerki
3991,industry,gembling-partnerki
3993,industry,gembling-partnerki
3995,industry,betting
3995,industry,gembling-partnerki
3995,industry,dejting-partnerki
3997,industry,gembling-partnerki
3999,industry,betting
3999,industry,gembling-partnerki
4001,industry,gembling-partnerki
4003,industry,gembling-partnerki
4005,industry,gembling-partnerki
4005,industry,igrovye-partnerki
4007,industry,gembling-partnerki
4012,industry,gembling-partnerki
4012,industry,nutra-partnerki
4012,industry,partnerskaya-programma-s-bankami
4012,industry,partnerskie-programmy-mikrozajmy
4012,industry,finansovye-partnerki
4014,industry,gembling-partnerki
4016,industry,cpa-partnerki
4016,industry,e-commerce
4016,industry,travel
4018,industry,e-commerce
4020,industry,e-commerce
4022,industry,e-commerce
4022,industry,partnerskaya-programma-s-odezhdoj
4026,industry,e-commerce
4028,industry,e-commerce
4028,industry,partnerskaya-programma-s-odezhdoj
4028,industry,partnerskaya-programma-s-tovarkoj
4034,industry,adalt-tizerki
4034,industry,teaser-networks
4040,industry,push-reklamnye-seti
4040,industry,teaser-networks
4042,industry,adalt-tizerki
4042,industry,teaser-networks
4042,industry,tizerski-klikander-i-popander
4045,industry,teaser-networks
4047,industry,teaser-networks
4050,industry,push-reklamnye-seti
4050,industry,teaser-networks
4052,industry,teaser-networks
4054,industry,teaser-networks
4056,industry,push-reklamnye-seti
4056,industry,teaser-networks
4058,industry,teaser-networks
4060,industry,foreks-partnerki
4067,industry,foreks-partnerki
4069,industry,foreks-partnerki
4071,industry,partnerskie-programmy-mikrozajmy
4071,industry,foreks-partnerki
4073,industry,foreks-partnerki
4077,industry,foreks-partnerki
4079,industry,foreks-partnerki
4081,industry,foreks-partnerki
4083,industry,foreks-partnerki
4085,industry,push-reklamnye-seti
4087,industry,push-reklamnye-seti
4089,industry,push-reklamnye-seti
4091,industry,push-reklamnye-seti
4093,industry,push-reklamnye-seti
4093,industry,teaser-networks
4093,industry,tizerski-klikander-i-popander
4095,industry,push-reklamnye-seti
4152,industry,push-reklamnye-seti
4154,industry,push-reklamnye-seti
4158,industry,betting
4158,industry,gembling-partnerki
4160,industry,betting
4160,industry,gembling-partnerki
4160,industry,dejting-partnerki
4160,industry,finansovye-partnerki
4162,industry,cpa-partnerki
4162,industry,betting
4162,industry,gembling-partnerki
4165,industry,cpa-partnerki
4165,industry,e-commerce
4165,industry,betting
4165,industry,gembling-partnerki
4167,industry,betting
4167,industry,gembling-partnerki
4171,industry,betting
4171,industry,gembling-partnerki
4174,industry,betting
4174,industry,gembling-partnerki
4174,industry,partnerskie-programmy-mikrozajmy
4176,industry,cpa-partnerki
4176,industry,betting
4181,industry,mobilnye-cpa
4183,industry,mobilnye-cpa
4185,industry,mobilnye-cpa
4187,industry,mobilnye-cpa
4189,industry,mobilnye-cpa
4195,industry,gembling-partnerki
4195,industry,dejting-partnerki
4195,industry,mobilnye-cpa
4198,industry,cpa-partnerki
4198,industry,mobilnye-cpa
4200,industry,mobilnye-cpa
4202,industry,mobilnye-cpa
4204,industry,dejting-partnerki
4204,industry,mobilnye-cpa
4204,industry,nutra-partnerki
4206,industry,cashback-partnerki
4208,industry,adalt-partnerki
4208,industry,adalt-tizerki
4212,industry,adalt-partnerki
4212,industry,adalt-tizerki
4212,industry,partnerskaya-programma-s-tovarkoj
4217,industry,adalt-partnerki
4217,industry,adalt-tizerki
4219,industry,adalt-partnerki
4219,industry,adalt-tizerki
4222,industry,adalt-partnerki
4222,industry,adalt-tizerki
4224,industry,adalt-partnerki
4224,industry,adalt-tizerki
4226,industry,adalt-partnerki
4226,industry,adalt-tizerki
4313,industry,adalt-partnerki
4313,industry,adalt-tizerki
4315,industry,adalt-partnerki
4315,industry,adalt-tizerki
4317,industry,kriptovalyutnye-partnerki
4317,industry,kriptovalyutnye-tizernye-seti
4319,industry,gembling-partnerki
4319,industry,dejting-partnerki
4319,industry,kriptovalyutnye-partnerki
4319,industry,kriptovalyutnye-tizernye-seti
4319,industry,foreks-partnerki
4321,industry,kriptovalyutnye-partnerki
4321,industry,kriptovalyutnye-tizernye-seti
4323,industry,kriptovalyutnye-partnerki
4323,industry,kriptovalyutnye-tizernye-seti
4326,industry,kriptovalyutnye-partnerki
4326,industry,kriptovalyutnye-tizernye-seti
4332,industry,kriptovalyutnye-partnerki
4332,industry,kriptovalyutnye-tizernye-seti
4333,industry,kriptovalyutnye-partnerki
4333,industry,kriptovalyutnye-tizernye-seti
4335,industry,kriptovalyutnye-partnerki
