wp_post_id,name,price,lessons_count
3885,123213123,0123123,0123123
3898,www,1000,8
165,Frontend development 15 550 ₴,0,0
165,Java,0,0
165,JS development,0,0
165,Python,0,0
165,Тестирование,0,0
165,Веб-дизайн,0,0
179,Executive MBA,0,0
179,Ukrainian MBA,0,0
179,General MBA,0,0
179,International MBA,0,0
179,MBA in Public Sector,0,0
179,MBA,5094,0
184,Master of Business Administration,0,0
184,pre-MBA,0,0
184,Doctor of Business Administration,0,0
194,Front-End ,320,18
194,QA,409,25
194,Project Management,255,16
194,Программирование,240,0
194,Курс HR и рекрутинг в IT,000,00
198, Программирование,137,0
198,WEB - ДИЗАЙН,477,0
201,Веб-разработка,181,0
201,SEO,155,0
201,Программирование,156,0
201,Курсы Excel,120,6
201,Актерское мастерство: Basic,130,8
201,Актерское мастерство: Advanced,150,6
201,Актерское мастерство: Professional,150,6
205,SEO,256,0
205,"SEO Курс ""Профессионал""",000,11
205,"""Сила интернет - маркетинга""",000,10
205,"SEO Курс ""Специалист""",000,9
205,"Онлайн Курс ""SEO + Adwords""",000,11
205,"SEO Курс ""Начинающий""",000,5
210,SEO,0,0
215,Маркетинг в Муравейнике,470,17
218,Управление проектами,750,0
218,Управление маркетингом,650,0
220,SEO,98,0
220,SMM,122,0
220,Программирование ,366,0
220,Дизайн ,272,0
222,Программирование,45,0
222,Дизайн,99,0
225,MBA,12,0
227,MBA,0,0
229,MBA,13900,0
231,MBA,0,0
233,MBA,0,0
235,MBA,1081,0
237,MBA,3619,0
241,Дизайн,270,0
241,FRONTEND ,159,0
241,QA,8700,0
241,PM,240,0
241,Практическое программирование в Microsoft Office,150,3
241,HR-MASTER,000,00
241,LITS,000,00
243,PHP,0,0
243,Курс дизайна интерьера онлайн,0,0
243,Курс дизайна интерьера,0,0
243,Курс графического дизайна онлайн,0,0
243,Курс графического дизайна,0,0
243,Курс ArchiCAD,0,0
243,Курсы скетчинга,0,0
243,Декорирование интерьера и дизайн штор,0,0
243,Курс 3D Max,0,0
243,Курс Web-дизайн,0,0
243,Курс Adobe Illustrator,0,0
243,Курс ландшафтного дизайна,0,0
243,Тренинг по каллиграфии,0,0
243,Курс визуализации ландшафта,0,0
245,Программирование,562,0
245,Дизайн,551,0
247,FULL STACK,166,0
247,Front END,157,0
247,JAVA,127,0
249,Обучение,80,0
253,PHP,0,0
253,JAVA,0,0
253,Front-End,0,0
