taxonomy,slug,name,parent_slug
city,40-rokiv-zhovtnya-23-herson-hersonska,"40 РОКІВ ЖОВТНЯ, 23, ХЕРСОН, -, ХЕРСОНСЬКА",
business,undress-bots,AI телеграм боты по раздеванию по фото,
categories,back-end,Back-End,
section,young-woman-old-man,"Best Free Younger Woman, Older Man Dating Sites",
industry,cashback-partnerki,Cashback партнерки,
blog_cat,cpa,CPA,
blog_cat_ru,cpa,CPA,
industry,cpa-partnerki,CPA сети,
business,crm-dlya-manikyurogo-salona,CRM для маникюрого салона,
business,znakomstva-v-anglii,Cайты для русскоязычных знакомств в Англии (Великобритании),
categories,devops,DevOps,
industry,e-commerce,E-commerce,
industry,essay-partnerki,Essay партнерки,
instagramers_categories,fitness,Fitness,
instagramers_categories,food,Food,
categories,full-stack,Full-Stack,
categories,html,HTML,
rucategory,js,JavaScript,
instagramers_categories,kids,Kids,
instagramers_categories,lifestyle,LifeStyle,
blog_cat,lms,LMS,
blog_cat_ru,lms,LMS,
blog_cat,onlyfans,OnlyFans,
blog_cat_ru,onlyfans,OnlyFans,
business,p2p-marketplaces,p2p маркетплейсы,
industry,ppc-partnerki,pay per call партнерки,
industry,push-reklamnye-seti,Push рекламные сети,
blog_cat,seo,SEO,
blog_cat_ru,seo,SEO,
rucategory,seo,SEO,
rucategory,smm,SMM,
industry,sms-partnerki,SMS партнерки,
youtubers_category,travel,Travel,
direction,aviation-and-space,Авиационная и ракетно-космическая техника,
direction,automation,Автоматизация,
section,agentstva-neruhomosti,Агентства нерухомості,
industry,agregatory-ssylok,Агрегаторы ссылок,
direction,agro-farm,Агро,
industry,adalt-partnerki,Адалт Партнерки,
industry,adalt-tizerki,Адалт тизерки,
section,akademiya,Академия,
city,aktau,Актау,
city,aktobe,Актобе,
city,almaty,Алматы,
kz_city,almaty,Алматы,
business,anonim-bitcoin-wallets,Анонимные биткоин-кошельки,
industry,antidetekt-brauzery-na-ajfon,Антидетект браузеры на айфон,
industry,antidetekt-brauzery-na-android,Антидетект браузеры на андроид,
city,astana,Астана,
kz_city,astana,Астана,
moscow_city,astana,Астана,
city,atyrau,Атырау,
direction,audiovizualnoe-iskusstvo-i-proizvodstvo,Аудиовизуальное искусство и производство,
city,barnaul,Барнаул,
categories,free-php-courses,Бесплатные PHP Курсы,
categories,besplatnye-kursy-qa,Бесплатные курсы qa,
categories,besplatnye-kursy-veb-dizajna,Бесплатные курсы веб дизайна,
categories,free-python,Бесплатные курсы по Python,
categories,free-webdesign,Бесплатные курсы по графическому дизайну,
categories,besplatnye-kursy-frontend,Бесплатные курсы фронтенд,
categories,besplatnye-onlajn-kursy-seo,Бесплатные онлайн курсы SEO,
categories,besplatnye-onlajn-kursy-smm,Бесплатные онлайн курсы SMM,
categories,besplatnye-onlajn-kursy-internet-marketingu,Бесплатные онлайн курсы интернет маркетингу,
business,besplatnyj-seo-analiz-sajta,Бесплатный SEO анализ сайта,
industry,betting,Беттинг,
rucategory,business-trainings,Бизнес Тренинги,
direction,biznes-obrazovanie-mba,Бизнес-образование МБА,
industry,binarki,Бинарные опционы,
direction,biologiya-ekologiya,Биология экология,
section,bolnicza-nauchno-issledovatelskij-institut,Больница; Научно-исследовательский институт,
business,telegram-znakomstva,Боты телеграмм знакомства,
section,budivnicztvo-vodnih-sporud,Будівництво водних споруд,
section,budivnicztvo-dorig-i-avtostrad,Будівництво доріг і автострад,
section,budivnicztvo-zhitlovih-i-nezhitlovih-budivel,Будівництво житлових і нежитлових будівель,
section,budivnicztvo-zaliznicz-i-metropolitenu,Будівництво залізниць і метрополітену,
section,budivnicztvo-inshih-sporud,Будівництво інших споруд,
section,budivnicztvo-mostiv-i-tuneliv,Будівництво мостів і тунелів,
section,budivnicztvo-sporud-elektropostachannya-ta-telekomunikaczij,Будівництво споруд електропостачання та телекомунікацій,
section,budivnicztvo-suden-i-plavuchih-konstrukczij,Будівництво суден і плавучих конструкцій,
section,budivnicztvo-truboprovodiv,Будівництво трубопроводів,
section,buduvannya-progulyankovih-ta-sportivnih-chovniv,Будування прогулянкових та спортивних човнів,
city,bulvar-franczuzskij-b-8-m-odesa-primorskij-odeska,"бульвар Французський, Б. 8, М. ОДЕСА, ПРИМОРСЬКИЙ, ОДЕСЬКА",
section,vantazhnij-aviaczijnij-transport,Вантажний авіаційний транспорт,
section,vantazhnij-avtomobilnij-transport,Вантажний автомобільний транспорт,
section,vantazhnij-zaliznichnij-transport,Вантажний залізничний транспорт,
section,vantazhnij-morskij-transport,Вантажний морський транспорт,
section,vantazhnij-richkovij-transport,Вантажний річковий транспорт,
rucategory,web-design,Веб Дизайн,
rucategory,web-development,Веб Разработка,
section,veb-portali,Веб-портали,
rucategory,front-end,Верстка Сайтов,
section,veterinarna-diyalnist,Ветеринарна діяльність,
direction,veterinarnaya-medicina,Ветеринарная медицина,
section,vzrosloe-obuchenie,Взрослое обучение,
section,vzrosloe-obuchenie-obrazovatelnyj-czentr,Взрослое обучение; Образовательный центр,
section,vzrosloe-obuchenie-obrazovatelnyj-czentr-czentr-rannego-razvitiya-joga,Взрослое обучение; Образовательный центр; Центр раннего развития; Йога,
section,vzrosloe-obuchenie-repetitor-obrazovatelnyj-czentr,Взрослое обучение; Репетитор; Образовательный центр,
section,vzrosloe-obuchenie-speczialnoe-obrazovanie,Взрослое обучение; Специальное образование,
section,vzrosloe-obuchenie-teatr,Взрослое обучение; Театр,
section,vzrosloe-obuchenie-ekskursii-it-uslugi,Взрослое обучение; Экскурсии; IT-услуги,
section,vigotovlennya-drukovanih-form-i-nadannya-inshih-poligrafichnih-poslug,Виготовлення друкованих форм і надання інших поліграфічних послуг,
section,vidannya-gazet,Видання газет,
section,vidannya-dovidnikiv-i-katalogiv,Видання довідників і каталогів,
section,vidannya-zhurnaliv-ta-periodichnih-vidan,Видання журналів та періодичних видань,
section,vidannya-zvukozapisiv,Видання звукозаписів,
section,vidannya-inshogo-programnogo-zabezpechennya,Видання іншого програмного забезпечення,
section,vidannya-knig,Видання книг,
section,vidannya-kompyuternih-igor,Видання комп’ютерних ігор,
section,vidobutok-burogo-vugillya,Видобуток бурого вугілля,
section,vidobutok-zaliznih-rud,Видобуток залізних руд,
section,vidobutok-inshih-korisnih-kopalin-i-rozrobki-karєriv,Видобуток інших корисних копалин і розробки кар’єрів,
section,vidobutok-kamyanogo-vugillya,Видобуток кам’яного вугілля,
section,vidobutok-mineralnoyi-sirovini-dlya-himichnoyi-promislovosti-ta-dobriv,Видобуток мінеральної сировини для хімічної промисловості та добрив,
section,vidobutok-pisku-graviyu-glini-i-kaolinu,"Видобуток піску, гравію, глини і каоліну",
section,vidobutok-prirodnogo-gazu,Видобуток природного газу,
section,vidobutok-rud-inshih-kolorovih-metaliv,Видобуток руд інших кольорових металів,
section,vidobutok-siroyi-nafti,Видобуток сирої нафти,
section,vidobutok-soli,Видобуток солі,
section,vidobutok-torfu,Видобуток торфу,
city,vinnicza,Винница,
section,virobnicztvo-abrazivnih-virobiv,Виробництво абразивних виробів,
section,virobnicztvo-avtotransportnih-zasobiv,Виробництво автотранспортних засобів,
section,virobnicztvo-alyuminiyu,Виробництво алюмінію,
section,virobnicztvo-barvnikiv-ta-pigmentiv,Виробництво барвників та пігментів,
section,virobnicztvo-batarej-i-akumulyatoriv,Виробництво батарей і акумуляторів,
section,virobnicztvo-bezalkogolnih-napoyiv-mineralnih-vod-rozlitih-v-plyashki,"Виробництво безалкогольних напоїв, мінеральних вод розлитих в пляшки",
section,virobnicztvo-betonnih-rozchiniv-gotovih-dlya-vikoristannya,"Виробництво бетонних розчинів, готових для використання",
section,virobnicztvo-budivelnih-virobiv-z-plastmas,Виробництво будівельних виробів з пластмас,
section,virobnicztvo-budivelnih-metalevih-konstrukczij,Виробництво будівельних металевих конструкцій,
section,virobnicztvo-vapna-ta-gipsovih-sumishej,Виробництво вапна та гіпсових сумішей,
section,virobnicztvo-velosipediv-dityachih-ta-invalidnih-kolyasok,"Виробництво велосипедів, дитячих та інвалідних колясок",
section,virobnicztvo-verstativ,Виробництво верстатів,
section,virobnicztvo-vzuttya,Виробництво взуття,
section,virobnicztvo-vibuhovih-rechovin,Виробництво вибухових речовин,
section,virobnicztvo-vin,Виробництво вин,
section,virobnicztvo-virobiv-z-betonu-dlya-budivnicztva,Виробництво виробів з бетону для будівництва,
section,virobnicztvo-virobiv-z-betonu-gipsu-ta-czementu,"Виробництво виробів з бетону, гіпсу та цементу",
section,virobnicztvo-virobiv-z-voloknistogo-czementu,Виробництво виробів з волокнистого цементу,
section,virobnicztvo-virobiv-z-gipsu-dlya-budivnicztva,Виробництво виробів з гіпсу для будівництва,
section,virobnicztvo-virobiv-z-derevini,Виробництво виробів з деревини,
section,virobnicztvo-virobiv-z-drotu-lanczyugiv-i-pruzhin,"Виробництво виробів з дроту, ланцюгів і пружин",
section,virobnicztvo-virobiv-z-paperu-ta-kartonu,Виробництво виробів з паперу та картону,
section,virobnicztvo-virobiv-z-hutra,Виробництво виробів з хутра,
section,virobnicztvo-vijskovih-transportnih-zasobiv,Виробництво військових транспортних засобів,
section,virobnicztvo-vognetrivkih-virobiv,Виробництво вогнетривких виробів,
section,virobnicztvo-vuzliv-detalej-ta-priladdya-dlya-avtotransportnih-zasobiv,"Виробництво вузлів, деталей та приладдя для автотранспортних засобів",
section,virobnicztvo-gazu,Виробництво газу,
section,virobnicztvo-gidravlichnogo-ta-pnevmatichnogo-obladnannya,Виробництво гідравлічного та пневматичного обладнання,
section,virobnicztvo-gospodarskih-ta-dekorativnih-keramichnih-virobiv,Виробництво господарських та декоративних керамічних виробів,
section,virobnicztvo-gotovih-kormiv-dlya-domashnih-tvarin,Виробництво готових кормів для домашніх тварин,
section,virobnicztvo-gotovih-kormiv-dlya-tvarin-shho-utrimuyutsya-na-fermah,"Виробництво готових кормів для тварин, що утримуються на фермах",
section,virobnicztvo-gotovih-metalevih-virobiv,Виробництво готових металевих виробів,
section,virobnicztvo-gotovih-strav-dlya-podij,Виробництво готових страв для подій,
section,virobnicztvo-gotovih-tekstilnih-virobiv-krim-odyagu,"Виробництво готових текстильних виробів, крім одягу",
section,virobnicztvo-gotovoyi-yizhi-ta-strav,Виробництво готової їжі та страв,
section,virobnicztvo-gofrovanogo-paperu-ta-kartonu-paperovoyi-ta-kartonnoyi-tari,"Виробництво гофрованого паперу та картону, паперової та картонної тари",
section,virobnicztvo-gumovih-virobiv,Виробництво гумових виробів,
section,virobnicztvo-gumovih-shin-pokrishok-ta-kamer,"Виробництво гумових шин, покришок та камер",
section,virobnicztvo-dviguniv-i-turbin-avtotransportnih-i-motoczikletnih-dviguniv,"Виробництво двигунів і турбін, автотранспортних і мотоциклетних двигунів",
section,virobnicztvo-derevyanih-budivelnih-konstrukczij-ta-stolyarnih-virobiv,Виробництво дерев’яних будівельних конструкцій та столярних виробів,
section,virobnicztvo-derevyanoyi-tari,Виробництво дерев’яної тари,
section,virobnicztvo-dityachogo-harchuvannya-ta-diєtichnih-harchovih-produktiv,Виробництво дитячого харчування та дієтичних харчових продуктів,
section,virobnicztvo-dobriv-ta-azotnih-spoluk,Виробництво добрив та азотних сполук,
section,virobnicztvo-dorogoczinnih-metaliv,Виробництво дорогоцінних металів,
section,virobnicztvo-dorozhnih-virobiv-sumok-zi-shkiri-ta-inshih-materialiv,"Виробництво дорожніх виробів, сумок, зі шкіри та інших матеріалів",
section,virobnicztvo-elektrichnih-pobutovih-priladiv,Виробництво електричних побутових приладів,
section,virobnicztvo-elektrichnogo-osvitlyuvalnogo-obladnannya,Виробництво електричного освітлювального обладнання,
section,virobnicztvo-elektrichnogo-ta-elektronnogo-ustatkuvannya-dlya-avtotransportnih-zasobiv,Виробництво електричного та електронного устаткування для автотранспортних засобів,
section,virobnicztvo-elektrodviguniv-generatoriv-i-transformatoriv,"Виробництво електродвигунів, генераторів і трансформаторів",
section,virobnicztvo-elektroenergiyi,Виробництво електроенергії,
section,virobnicztvo-elektromontazhnih-pristroyiv,Виробництво електромонтажних пристроїв,
section,virobnicztvo-elektronnih-komponentiv,Виробництво електронних компонентів,
section,virobnicztvo-elektronnoyi-aparaturi-pobutovogo-priznachennya,Виробництво електронної апаратури побутового призначення,
section,virobnicztvo-elektrorozpodilnoyi-ta-kontrolnoyi-aparaturi,Виробництво електророзподільної та контрольної апаратури,
section,virobnicztvo-efirnih-olij,Виробництво ефірних олій,
section,virobnicztvo-zaliznichnih-lokomotiviv-i-ruhomogo-skladu,Виробництво залізничних локомотивів і рухомого складу,
section,virobnicztvo-zamkiv-i-dvernih-petel,Виробництво замків і дверних петель,
section,virobnicztvo-zbroyi-ta-boєpripasiv,Виробництво зброї та боєприпасів,
section,virobnicztvo-zmontovanih-drukovanih-plat,Виробництво змонтованих друкованих плат,
section,virobnicztvo-zubchastih-peredach-elementiv-mehanichnih-peredach-ta-privodiv,"Виробництво зубчастих передач, елементів механічних передач та приводів",
section,virobnicztvo-igor-ta-igrashok,Виробництво ігор та іграшок,
section,virobnicztvo-instrumentiv,Виробництво інструментів,
section,virobnicztvo-instrumentiv-i-obladnannya-dlya-vimiryuvannya,Виробництво інструментів і обладнання для вимірювання,
section,virobnicztvo-inshih-vidiv-elektronnih-i-elektrichnih-provodiv-i-kabeliv,Виробництво інших видів електронних і електричних проводів і кабелів,
section,virobnicztvo-inshih-vidiv-odyagu-ta-aksesuariv,Виробництво інших видів одягу та аксесуарів,
section,virobnicztvo-inshih-virobiv-z-plastmas,Виробництво інших виробів з пластмас,
section,virobnicztvo-inshih-gotovih-strav,Виробництво інших готових страв,
section,virobnicztvo-inshih-kolorovih-metaliv,Виробництво інших кольорових металів,
section,virobnicztvo-inshih-mebliv,Виробництво інших меблів,
